exp_name,efficiency_group,protocol,task_id,avg_auc_roc,avg_macro_f1,avg_f1,avg_g_mean,time_cost,avg_inference_time_ms,peak_gpu_memory_mb,model_param_mb,stored_memory_mb,csv_path
elliptic_system_full_BSL,system_level,cumulative_full_graph,10,0.726374,0.552671,0.228202,0.442923,6.550682,23.469186,4127.113770,0.496967,0.000000,weights/efficiency/system_level/elliptic_system_full_BSL/metrics/elliptic_system_full_BSL_aggregate_metrics.csv
elliptic_system_full_CGNN,system_level,cumulative_full_graph,10,0.837805,0.649809,0.432251,0.747133,2.307904,18.631244,3233.812012,0.396976,0.000000,weights/efficiency/system_level/elliptic_system_full_CGNN/metrics/elliptic_system_full_CGNN_aggregate_metrics.csv
elliptic_system_full_ER_GCN,system_level,cumulative_full_graph,10,0.816959,0.566527,0.378403,0.713491,0.935881,5.028534,797.819336,0.081547,0.001526,weights/efficiency/system_level/elliptic_system_full_ER_GCN/metrics/elliptic_system_full_ER_GCN_aggregate_metrics.csv
elliptic_system_full_GCN,system_level,cumulative_full_graph,10,0.820462,0.609829,0.385355,0.677248,0.924496,4.126549,797.815430,0.081547,0.000000,weights/efficiency/system_level/elliptic_system_full_GCN/metrics/elliptic_system_full_GCN_aggregate_metrics.csv
elliptic_system_full_GradGNN,system_level,cumulative_full_graph,10,0.810532,0.565591,0.369749,0.661987,13.170358,46.565390,1663.881348,3.309460,0.000000,weights/efficiency/system_level/elliptic_system_full_GradGNN/metrics/elliptic_system_full_GradGNN_aggregate_metrics.csv
elliptic_system_full_GraphSAGE,system_level,cumulative_full_graph,10,0.855057,0.640444,0.434319,0.768459,1.275881,5.813336,831.041992,0.162601,0.000000,weights/efficiency/system_level/elliptic_system_full_GraphSAGE/metrics/elliptic_system_full_GraphSAGE_aggregate_metrics.csv
elliptic_system_full_HOGRL,system_level,cumulative_full_graph,10,0.817103,0.596734,0.397939,0.727106,6.337194,29.891324,1363.982910,0.451679,0.000000,weights/efficiency/system_level/elliptic_system_full_HOGRL/metrics/elliptic_system_full_HOGRL_aggregate_metrics.csv
elliptic_system_taskonly_TASDCL,system_level,task_only_snapshot,10,0.851675,0.632866,0.411727,0.773385,2.819913,16.867638,3137.133789,0.396976,0.035156,weights/efficiency/system_level/elliptic_system_taskonly_TASDCL/metrics/elliptic_system_taskonly_TASDCL_aggregate_metrics.csv
elliptic_taskonly_BSL,task_only_overhead,task_only_snapshot,10,0.824384,0.634936,0.375152,0.655673,4.483510,20.533109,2374.094238,0.496967,0.000000,weights/efficiency/task_only_overhead/elliptic_taskonly_BSL/metrics/elliptic_taskonly_BSL_aggregate_metrics.csv
elliptic_taskonly_CGNN,task_only_overhead,task_only_snapshot,10,0.848608,0.637651,0.418028,0.779265,1.642066,17.418313,2267.432129,0.396976,0.000000,weights/efficiency/task_only_overhead/elliptic_taskonly_CGNN/metrics/elliptic_taskonly_CGNN_aggregate_metrics.csv
elliptic_taskonly_ER_GCN,task_only_overhead,task_only_snapshot,10,0.838679,0.609147,0.401371,0.732972,0.724566,3.293300,576.406738,0.081547,0.001526,weights/efficiency/task_only_overhead/elliptic_taskonly_ER_GCN/metrics/elliptic_taskonly_ER_GCN_aggregate_metrics.csv
elliptic_taskonly_GCN,task_only_overhead,task_only_snapshot,10,0.839018,0.591266,0.388679,0.737548,0.729431,3.303647,576.402344,0.081547,0.000000,weights/efficiency/task_only_overhead/elliptic_taskonly_GCN/metrics/elliptic_taskonly_GCN_aggregate_metrics.csv
elliptic_taskonly_GradGNN,task_only_overhead,task_only_snapshot,10,0.859278,0.579484,0.379224,0.748191,9.248357,31.653118,1624.939941,3.309460,0.000000,weights/efficiency/task_only_overhead/elliptic_taskonly_GradGNN/metrics/elliptic_taskonly_GradGNN_aggregate_metrics.csv
elliptic_taskonly_GraphSAGE,task_only_overhead,task_only_snapshot,10,0.891051,0.620869,0.408672,0.815589,0.845336,4.106808,720.363281,0.162601,0.000000,weights/efficiency/task_only_overhead/elliptic_taskonly_GraphSAGE/metrics/elliptic_taskonly_GraphSAGE_aggregate_metrics.csv
elliptic_taskonly_HOGRL,task_only_overhead,task_only_snapshot,10,0.843188,0.616112,0.369004,0.712673,5.899092,26.059365,1335.585938,0.451679,0.000000,weights/efficiency/task_only_overhead/elliptic_taskonly_HOGRL/metrics/elliptic_taskonly_HOGRL_aggregate_metrics.csv
elliptic_taskonly_TASDCL,task_only_overhead,task_only_snapshot,10,0.863114,0.664691,0.433630,0.767559,2.802882,16.292906,3137.133789,0.396976,0.035156,weights/efficiency/task_only_overhead/elliptic_taskonly_TASDCL/metrics/elliptic_taskonly_TASDCL_aggregate_metrics.csv
