exp_name,robustness_group,robustness_setting,task_id,avg_auc_roc,avg_macro_f1,avg_f1,avg_g_mean,time_cost,avg_inference_time_ms,peak_gpu_memory_mb,model_param_mb,stored_memory_mb,csv_path
elliptic_robust_ratio025_CGNN,anomaly_ratio,25%,10,0.854201,0.465129,0.000000,0.000000,1.635805,17.298865,2267.430664,0.396976,0.000000,weights/robustness/elliptic_robust_ratio025_CGNN/metrics/elliptic_robust_ratio025_CGNN_aggregate_metrics.csv
elliptic_robust_ratio025_ER_GCN,anomaly_ratio,25%,10,0.843544,0.633359,0.370100,0.589428,0.725190,3.409672,576.404785,0.081547,0.001526,weights/robustness/elliptic_robust_ratio025_ER_GCN/metrics/elliptic_robust_ratio025_ER_GCN_aggregate_metrics.csv
elliptic_robust_ratio025_GCN,anomaly_ratio,25%,10,0.826160,0.610258,0.355733,0.589567,0.718380,3.287315,576.399902,0.081547,0.000000,weights/robustness/elliptic_robust_ratio025_GCN/metrics/elliptic_robust_ratio025_GCN_aggregate_metrics.csv
elliptic_robust_ratio025_TASDCL,anomaly_ratio,25%,10,0.857320,0.488691,0.043963,0.064016,2.822769,15.445566,3136.842773,0.396976,0.035156,weights/robustness/elliptic_robust_ratio025_TASDCL/metrics/elliptic_robust_ratio025_TASDCL_aggregate_metrics.csv
elliptic_robust_ratio050_CGNN,anomaly_ratio,50%,10,0.842262,0.590691,0.258652,0.438706,1.641488,17.501831,2267.432129,0.396976,0.000000,weights/robustness/elliptic_robust_ratio050_CGNN/metrics/elliptic_robust_ratio050_CGNN_aggregate_metrics.csv
elliptic_robust_ratio050_ER_GCN,anomaly_ratio,50%,10,0.850576,0.588962,0.383770,0.752542,0.724690,3.282833,576.405762,0.081547,0.001526,weights/robustness/elliptic_robust_ratio050_ER_GCN/metrics/elliptic_robust_ratio050_ER_GCN_aggregate_metrics.csv
elliptic_robust_ratio050_GCN,anomaly_ratio,50%,10,0.830312,0.607078,0.388036,0.687922,0.719319,3.262997,576.401855,0.081547,0.000000,weights/robustness/elliptic_robust_ratio050_GCN/metrics/elliptic_robust_ratio050_GCN_aggregate_metrics.csv
elliptic_robust_ratio050_TASDCL,anomaly_ratio,50%,10,0.837027,0.648810,0.405344,0.706284,2.847082,16.975045,3136.873535,0.396976,0.035156,weights/robustness/elliptic_robust_ratio050_TASDCL/metrics/elliptic_robust_ratio050_TASDCL_aggregate_metrics.csv
elliptic_robust_ratio075_CGNN,anomaly_ratio,75%,10,0.855924,0.632294,0.413419,0.790340,1.644786,17.085075,2267.432129,0.396976,0.000000,weights/robustness/elliptic_robust_ratio075_CGNN/metrics/elliptic_robust_ratio075_CGNN_aggregate_metrics.csv
elliptic_robust_ratio075_ER_GCN,anomaly_ratio,75%,10,0.845260,0.579833,0.374207,0.757531,0.735020,3.351188,576.406250,0.081547,0.001526,weights/robustness/elliptic_robust_ratio075_ER_GCN/metrics/elliptic_robust_ratio075_ER_GCN_aggregate_metrics.csv
elliptic_robust_ratio075_GCN,anomaly_ratio,75%,10,0.841669,0.596528,0.392127,0.739940,0.736066,3.338265,576.402344,0.081547,0.000000,weights/robustness/elliptic_robust_ratio075_GCN/metrics/elliptic_robust_ratio075_GCN_aggregate_metrics.csv
elliptic_robust_ratio075_TASDCL,anomaly_ratio,75%,10,0.837568,0.622667,0.398777,0.773741,2.819259,17.162967,3136.902832,0.396976,0.035156,weights/robustness/elliptic_robust_ratio075_TASDCL/metrics/elliptic_robust_ratio075_TASDCL_aggregate_metrics.csv
elliptic_robust_ratio100_CGNN,anomaly_ratio,100%,10,0.855540,0.630933,0.412818,0.784019,1.635226,17.451000,2267.432129,0.396976,0.000000,weights/robustness/elliptic_robust_ratio100_CGNN/metrics/elliptic_robust_ratio100_CGNN_aggregate_metrics.csv
elliptic_robust_ratio100_ER_GCN,anomaly_ratio,100%,10,0.838282,0.583291,0.384460,0.739109,0.735506,3.297520,576.406738,0.081547,0.001526,weights/robustness/elliptic_robust_ratio100_ER_GCN/metrics/elliptic_robust_ratio100_ER_GCN_aggregate_metrics.csv
elliptic_robust_ratio100_GCN,anomaly_ratio,100%,10,0.843511,0.576348,0.380415,0.718571,0.718249,3.303719,576.402344,0.081547,0.000000,weights/robustness/elliptic_robust_ratio100_GCN/metrics/elliptic_robust_ratio100_GCN_aggregate_metrics.csv
elliptic_robust_ratio100_TASDCL,anomaly_ratio,100%,10,0.852335,0.636907,0.419760,0.796437,2.843295,17.228723,3137.133789,0.396976,0.035156,weights/robustness/elliptic_robust_ratio100_TASDCL/metrics/elliptic_robust_ratio100_TASDCL_aggregate_metrics.csv
elliptic_robust_window10_CGNN,temporal_window,10 tasks,10,0.851437,0.631037,0.415632,0.787449,1.640901,17.298079,2267.432129,0.396976,0.000000,weights/robustness/elliptic_robust_window10_CGNN/metrics/elliptic_robust_window10_CGNN_aggregate_metrics.csv
elliptic_robust_window10_ER_GCN,temporal_window,10 tasks,10,0.858896,0.595035,0.389206,0.778513,0.725675,3.300786,576.406738,0.081547,0.001526,weights/robustness/elliptic_robust_window10_ER_GCN/metrics/elliptic_robust_window10_ER_GCN_aggregate_metrics.csv
elliptic_robust_window10_GCN,temporal_window,10 tasks,10,0.833532,0.574738,0.379018,0.717430,0.725492,3.289509,576.402344,0.081547,0.000000,weights/robustness/elliptic_robust_window10_GCN/metrics/elliptic_robust_window10_GCN_aggregate_metrics.csv
elliptic_robust_window10_TASDCL,temporal_window,10 tasks,10,0.848031,0.607573,0.393937,0.776331,2.833705,17.216134,3137.133789,0.396976,0.035156,weights/robustness/elliptic_robust_window10_TASDCL/metrics/elliptic_robust_window10_TASDCL_aggregate_metrics.csv
elliptic_robust_window20_CGNN,temporal_window,20 tasks,20,0.854950,0.472642,0.010988,0.029023,1.770294,16.528106,2450.047363,0.396976,0.000000,weights/robustness/elliptic_robust_window20_CGNN/metrics/elliptic_robust_window20_CGNN_aggregate_metrics.csv
elliptic_robust_window20_ER_GCN,temporal_window,20 tasks,20,0.854387,0.624121,0.389673,0.678882,0.774357,3.151274,618.409180,0.081547,0.001526,weights/robustness/elliptic_robust_window20_ER_GCN/metrics/elliptic_robust_window20_ER_GCN_aggregate_metrics.csv
elliptic_robust_window20_GCN,temporal_window,20 tasks,20,0.851033,0.615715,0.380385,0.653618,0.763102,3.139794,618.405273,0.081547,0.000000,weights/robustness/elliptic_robust_window20_GCN/metrics/elliptic_robust_window20_GCN_aggregate_metrics.csv
elliptic_robust_window20_TASDCL,temporal_window,20 tasks,20,0.854321,0.467181,0.000000,0.000000,3.115838,15.193689,3424.512207,0.396976,0.074219,weights/robustness/elliptic_robust_window20_TASDCL/metrics/elliptic_robust_window20_TASDCL_aggregate_metrics.csv
elliptic_robust_window5_CGNN,temporal_window,5 tasks,5,0.876601,0.703516,0.532428,0.777267,1.738578,17.686033,2413.200195,0.396976,0.000000,weights/robustness/elliptic_robust_window5_CGNN/metrics/elliptic_robust_window5_CGNN_aggregate_metrics.csv
elliptic_robust_window5_ER_GCN,temporal_window,5 tasks,5,0.827314,0.640305,0.475866,0.753561,0.773413,3.559446,609.703125,0.081547,0.001526,weights/robustness/elliptic_robust_window5_ER_GCN/metrics/elliptic_robust_window5_ER_GCN_aggregate_metrics.csv
elliptic_robust_window5_GCN,temporal_window,5 tasks,5,0.845034,0.662714,0.490133,0.754925,0.761160,3.518677,609.698730,0.081547,0.000000,weights/robustness/elliptic_robust_window5_GCN/metrics/elliptic_robust_window5_GCN_aggregate_metrics.csv
elliptic_robust_window5_TASDCL,temporal_window,5 tasks,5,0.878335,0.690133,0.514184,0.769652,2.872079,17.713118,3360.077637,0.396976,0.015625,weights/robustness/elliptic_robust_window5_TASDCL/metrics/elliptic_robust_window5_TASDCL_aggregate_metrics.csv
